-e FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATE_CONVERT	DATA_CODING	Path	Category	Field	ValueType
-e 709						100291	Assessment centre > Touchscreen > Sociodemographics > Household	100066	Number in household	Integer
-e 728						100293	Assessment centre > Touchscreen > Sociodemographics > Household	100066	Number of vehicles in household	Categorical single
-e 738						100294	Assessment centre > Touchscreen > Sociodemographics > Household	100066	Average total household income before tax	Categorical single
-e 757						100290	Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Time employed in main current job	Integer
-e 767						100291	Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Length of working week for main job	Integer
-e 777							Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Frequency of travelling from home to job workplace	Integer
-e 796						100300	Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Distance between home and job workplace	Integer
-e 806						100301	Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Job involves mainly walking or standing	Categorical single
-e 816						100301	Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Job involves heavy manual or physical work	Categorical single
-e 826						100301	Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Job involves shift work	Categorical single
-e 845						100306	Assessment centre > Touchscreen > Sociodemographics > Education	100063	Age completed full time education	Integer
-e 864						100307	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Number of days/week walked 10+ minutes	Integer
-e 874						100291	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of walks	Integer
-e 884						100291	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Number of days/week of moderate physical activity 10+ minutes	Integer
-e 894						100291	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of moderate activity	Integer
-e 904						100291	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Number of days/week of vigorous physical activity 10+ minutes	Integer
-e 914						100291	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of vigorous activity	Integer
-e 924						100313	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Usual walking pace	Categorical single
-e 943						100314	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of stair climbing in last 4 weeks	Categorical single
-e 971						100317	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of walking for pleasure in last 4 weeks	Categorical single
-e 981						100318	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration walking for pleasure	Categorical single
-e 991						100317	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of strenuous sports in last 4 weeks	Categorical single
-e 1001						100318	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of strenuous sports	Categorical single
-e 1011						100317	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of light DIY in last 4 weeks	Categorical single
-e 1021						100318	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of light DIY	Categorical single
-e 1031						100327	Assessment centre > Touchscreen > Psychosocial factors > Social support	100061	Frequency of friend/family visits	Categorical single
-e 1050						100329	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Time spend outdoors in summer	Integer
-e 1060						100329	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Time spent outdoors in winter	Integer
-e 1070						100329	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Time spent watching television (TV)	Integer
-e 1080						100329	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Time spent using computer	Integer
-e 1090						100329	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Time spent driving	Integer
-e 1100						100334	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Drive faster than motorway speed limit	Categorical single
-e 1110						100335	Assessment centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Length of mobile phone use	Categorical single
-e 1120						100336	Assessment centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Weekly usage of mobile phone in last 3 months	Categorical single
-e 1130						100337	Assessment centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Hands-free device/speakerphone use with mobile phone in last 3 month	Categorical single
-e 1140						100338	Assessment centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Difference in mobile phone use compared to two years previously	Categorical single
-e 1150						100339	Assessment centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Usual side of head for mobile phone use	Categorical single
-e 1160						100291	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Sleep duration	Integer
-e 1170						100341	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Getting up in morning	Categorical single
-e 1180						100342	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Morning/evening person (chronotype)	Categorical single
-e 1190						100343	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Nap during day	Categorical single
-e 1200						100343	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Sleeplessness / insomnia	Categorical single
-e 1210						100345	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Snoring	Categorical single
-e 1220						100346	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Daytime dozing / sleeping	Categorical single
-e 1239						100347	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Current tobacco smoking	Categorical single
-e 1249						100348	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Past tobacco smoking	Categorical single
-e 1259						100370	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Smoking/smokers in household	Categorical single
-e 1269						100291	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Exposure to tobacco smoke at home	Integer
-e 1279						100291	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Exposure to tobacco smoke outside home	Integer
-e 1289						100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Cooked vegetable intake	Integer
-e 1299						100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Salad / raw vegetable intake	Integer
-e 1309						100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Fresh fruit intake	Integer
-e 1319						100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Dried fruit intake	Integer
-e 1329						100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Oily fish intake	Categorical single
-e 1339						100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Non-oily fish intake	Categorical single
-e 1349						100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Processed meat intake	Categorical single
-e 1359						100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Poultry intake	Categorical single
-e 1369						100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Beef intake	Categorical single
-e 1379						100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Lamb/mutton intake	Categorical single
-e 1389						100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Pork intake	Categorical single
-e 1408						100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Cheese intake	Categorical single
-e 1418						100387	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Milk type used	Categorical single
-e 1428						100388	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Spread type	Categorical single
-e 1438						100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Bread intake	Integer
-e 1448						100391	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Bread type	Categorical single
-e 1458						100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Cereal intake	Integer
-e 1468						100393	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Cereal type	Categorical single
-e 1478						100394	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Salt added to food	Categorical single
-e 1488						100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Tea intake	Integer
-e 1498						100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Coffee intake	Integer
-e 1508						100397	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Coffee type	Categorical single
-e 1518						100398	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Hot drink temperature	Categorical single
-e 1528						100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Water intake	Integer
-e 1538						100400	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Major dietary changes in the last 5 years	Categorical single
-e 1548						100401	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Variation in diet	Categorical single
-e 1558						100402	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Alcohol intake frequency.	Categorical single
-e 1568						100291	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly red wine intake	Integer
-e 1578						100291	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly champagne plus white wine intake	Integer
-e 1588						100291	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly beer plus cider intake	Integer
-e 1598						100291	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly spirits intake	Integer
-e 1608						100291	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly fortified wine intake	Integer
-e 1618						100416	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Alcohol usually taken with meals	Categorical single
-e 1628						100417	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Alcohol intake versus 10 years previously	Categorical single
-e 1647						100420	Assessment centre > Touchscreen > Early life factors	100033	Country of birth (UK/elsewhere)	Categorical single
-e 1677						100349	Assessment centre > Touchscreen > Early life factors	100033	Breastfed as a baby	Categorical single
-e 1687						100428	Assessment centre > Touchscreen > Early life factors	100033	Comparative body size at age 10	Categorical single
-e 1697						100429	Assessment centre > Touchscreen > Early life factors	100033	Comparative height size at age 10	Categorical single
-e 1707						100430	Assessment centre > Touchscreen > Early life factors	100033	Handedness (chirality/laterality)	Categorical single
-e 1717						100431	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Skin colour	Categorical single
-e 1727						100432	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Ease of skin tanning	Categorical single
-e 1737						100291	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Childhood sunburn occasions	Integer
-e 1747						100434	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Hair colour (natural, before greying)	Categorical single
-e 1757						100435	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Facial ageing	Categorical single
-e 1767						100349	Assessment centre > Touchscreen > Early life factors	100033	Adopted as a child	Categorical single
-e 1777						100349	Assessment centre > Touchscreen > Early life factors	100033	Part of a multiple birth	Categorical single
-e 1787						100349	Assessment centre > Touchscreen > Early life factors	100033	Maternal smoking around birth	Categorical single
-e 1797						100349	Assessment centre > Touchscreen > Family history	100034	Father still alive	Categorical single
-e 1807						100291	Assessment centre > Touchscreen > Family history	100034	Father's age at death	Integer
-e 1835						100349	Assessment centre > Touchscreen > Family history	100034	Mother still alive	Categorical single
-e 1845						100291	Assessment centre > Touchscreen > Family history	100034	Mother's age	Integer
-e 1873						100291	Assessment centre > Touchscreen > Family history	100034	Number of full brothers	Integer
-e 1883						100291	Assessment centre > Touchscreen > Family history	100034	Number of full sisters	Integer
-e 1920						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Mood swings	Categorical single
-e 1930						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Miserableness	Categorical single
-e 1940						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Irritability	Categorical single
-e 1950						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Sensitivity / hurt feelings	Categorical single
-e 1960						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Fed-up feelings	Categorical single
-e 1970						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Nervous feelings	Categorical single
-e 1980						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Worrier / anxious feelings	Categorical single
-e 1990						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Tense / 'highly strung'	Categorical single
-e 2000						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Worry too long after embarrassment	Categorical single
-e 2010						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Suffer from 'nerves'	Categorical single
-e 2020						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Loneliness, isolation	Categorical single
-e 2030						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Guilty feelings	Categorical single
-e 2040						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Risk taking	Categorical single
-e 2050						100484	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of depressed mood in last 2 weeks	Categorical single
-e 2060						100484	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of unenthusiasm / disinterest in last 2 weeks	Categorical single
-e 2070						100484	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of tenseness / restlessness in last 2 weeks	Categorical single
-e 2080						100484	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of tiredness / lethargy in last 2 weeks	Categorical single
-e 2090						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Seen doctor (GP) for nerves, anxiety, tension or depression	Categorical single
-e 2100						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Seen a psychiatrist for nerves, anxiety, tension or depression	Categorical single
-e 2110						100501	Assessment centre > Touchscreen > Psychosocial factors > Social support	100061	Able to confide	Categorical single
-e 2129						100503	Assessment centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Answered sexual history questions	Categorical single
-e 2139						100504	Assessment centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Age first had sexual intercourse	Integer
-e 2149						100291	Assessment centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Lifetime number of sexual partners	Integer
-e 2159						100352	Assessment centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Ever had same-sex intercourse	Categorical single
-e 2178						100508	Assessment centre > Touchscreen > Health and medical history > General health	100042	Overall health rating	Categorical single
-e 2188						100349	Assessment centre > Touchscreen > Health and medical history > General health	100042	Long-standing illness, disability or infirmity	Categorical single
-e 2207						100352	Assessment centre > Touchscreen > Health and medical history > Eyesight	100041	Wears glasses or contact lenses	Categorical single
-e 2217						100291	Assessment centre > Touchscreen > Health and medical history > Eyesight	100041	Age started wearing glasses or contact lenses	Integer
-e 2227						100352	Assessment centre > Touchscreen > Health and medical history > Eyesight	100041	Other eye problems	Categorical single
-e 2237						100639	Assessment centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Plays computer games	Categorical single
-e 2247						100631	Assessment centre > Touchscreen > Health and medical history > Hearing	100043	Hearing difficulty/problems	Categorical single
-e 2257						100349	Assessment centre > Touchscreen > Health and medical history > Hearing	100043	Hearing difficulty/problems with background noise	Categorical single
-e 2267						100536	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Use of sun/uv protection	Categorical single
-e 2277						100537	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Frequency of solarium/sunlamp use	Integer
-e 2296						100539	Assessment centre > Touchscreen > Health and medical history > General health	100042	Falls in the last year	Categorical single
-e 2306						100540	Assessment centre > Touchscreen > Health and medical history > General health	100042	Weight change compared with 1 year ago	Categorical single
-e 2316						100349	Assessment centre > Touchscreen > Health and medical history > Breathing	100037	Wheeze or whistling in the chest in last year	Categorical single
-e 2335						100349	Assessment centre > Touchscreen > Health and medical history > Chest pain	100039	Chest pain or discomfort	Categorical single
-e 2345						100349	Assessment centre > Touchscreen > Health and medical history > Cancer screening	100040	Ever had bowel cancer screening	Categorical single
-e 2355						100567	Assessment centre > Touchscreen > Health and medical history > Cancer screening	100040	Most recent bowel cancer screening	Integer
-e 2365						100349	Assessment centre > Touchscreen > Health and medical history > Cancer screening	100040	Ever had prostate specific antigen (PSA) test	Categorical single
-e 2375						100570	Assessment centre > Touchscreen > Sex-specific factors > Male-specific factors	100070	Relative age of first facial hair	Categorical single
-e 2385						100570	Assessment centre > Touchscreen > Sex-specific factors > Male-specific factors	100070	Relative age voice broke	Categorical single
-e 2395						100572	Assessment centre > Touchscreen > Sex-specific factors > Male-specific factors	100070	Hair/balding pattern	Categorical single
-e 2405						100291	Assessment centre > Touchscreen > Sex-specific factors > Male-specific factors	100070	Number of children fathered	Integer
-e 2415						100603	Assessment centre > Touchscreen > Health and medical history > Operations	100047	Had major operations	Categorical single
-e 2443						100349	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Diabetes diagnosed by doctor	Categorical single
-e 2453						100603	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Cancer diagnosed by doctor	Categorical single
-e 2463						100349	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Fractured/broken bones in last 5 years	Categorical single
-e 2473						100603	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Other serious medical condition/disability diagnosed by doctor	Categorical single
-e 2492						100603	Assessment centre > Touchscreen > Health and medical history > Medication	100045	Taking other prescription medications	Categorical single
-e 2624						100317	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of heavy DIY in last 4 weeks	Categorical single
-e 2634						100318	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of heavy DIY	Categorical single
-e 2644						100349	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Light smokers, at least 100 smokes in lifetime	Categorical single
-e 2654						100389	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Non-butter spread type details	Categorical single
-e 2664						100418	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Reason for reducing amount of alcohol drunk	Categorical single
-e 2674						100349	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Ever had breast cancer screening / mammogram	Categorical single
-e 2684						100567	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Years since last breast cancer screening / mammogram	Integer
-e 2694						100349	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Ever had cervical smear test	Categorical single
-e 2704						100569	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Years since last cervical smear test	Integer
-e 2714						100291	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age when periods started (menarche)	Integer
-e 2724						100579	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Had menopause	Categorical single
-e 2734						100584	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Number of live births	Integer
-e 2744						100585	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Birth weight of first child	Integer
-e 2754						100586	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age at first live birth	Integer
-e 2764						100586	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age at last live birth	Integer
-e 2774						100349	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Ever had stillbirth, spontaneous miscarriage or termination	Categorical single
-e 2784						100349	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Ever taken oral contraceptive pill	Categorical single
-e 2794						100291	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age started oral contraceptive pill	Integer
-e 2804						100595	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age when last used oral contraceptive pill	Integer
-e 2814						100349	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Ever used hormone-replacement therapy (HRT)	Categorical single
-e 2824						100291	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age at hysterectomy	Integer
-e 2834						100599	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Bilateral oophorectomy (both ovaries removed)	Categorical single
-e 2844						100603	Assessment centre > Touchscreen > Health and medical history > Operations	100047	Had other major operations	Categorical single
-e 2867						100291	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Age started smoking in former smokers	Integer
-e 2877						100351	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Type of tobacco previously smoked	Categorical single
-e 2887						100353	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Number of cigarettes previously smoked daily	Integer
-e 2897						100291	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Age stopped smoking	Integer
-e 2907						100349	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Ever stopped smoking for 6+ months	Categorical single
-e 2926						100291	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Number of unsuccessful stop-smoking attempts	Integer
-e 2936						100369	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Likelihood of resuming smoking	Categorical single
-e 2946						100291	Assessment centre > Touchscreen > Family history	100034	Father's age	Integer
-e 2956						100349	Assessment centre > Touchscreen > Health and medical history > Pain	100048	General pain for 3+ months	Categorical single
-e 2966						100291	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Age high blood pressure diagnosed	Integer
-e 2976						100291	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Age diabetes diagnosed	Integer
